3,none,7.5e-05,1.9e-05,9.7e-05
4,none,4.8e-05,2.2e-05,7.2e-05
5,none,5.7e-05,3.6e-05,9.6e-05
7,none,9.9e-05,5e-05,0.000151
8,none,8.8e-05,6.7e-05,0.000157
9,none,9.2e-05,7e-05,0.000165
11,none,0.000116,9.9e-05,0.000218
12,none,0.000167,0.000118,0.000286
13,none,0.000144,0.000135,0.000281
15,none,0.00023,0.000168,0.0004
16,none,0.000198,0.000194,0.000394
17,none,0.00021,0.000223,0.000436
19,none,0.000282,0.000295,0.00058
20,none,0.000337,0.000339,0.000678
21,none,0.000361,0.000312,0.000675
23,none,0.000331,0.000373,0.000706
24,none,0.000434,0.000395,0.000831
25,none,0.000369,0.000452,0.000823
27,none,0.000436,0.000548,0.000986
28,none,0.000565,0.00055,0.001117
29,none,0.000562,0.000644,0.001208
31,none,0.00057,0.000706,0.001278
32,none,0.000575,0.000695,0.001273
33,none,0.000838,0.000733,0.001573
35,none,0.000865,0.000831,0.001698
36,none,0.000982,0.000898,0.001883
37,none,0.00092,0.001011,0.001933
39,none,0.000995,0.001011,0.002008
40,none,0.001128,0.00109,0.002221
41,none,0.000978,0.00116,0.002141
43,none,0.001091,0.001255,0.002349
44,none,0.001369,0.001325,0.002696
45,none,0.001461,0.001359,0.002822
47,none,0.001275,0.001461,0.002738
48,none,0.001547,0.001509,0.003058
49,none,0.001353,0.001352,0.002707
51,none,0.001426,0.001433,0.002862
52,none,0.001027,0.001036,0.002065
53,none,0.00093,0.001069,0.002001
55,none,0.001161,0.001171,0.002335
56,none,0.001172,0.001194,0.002367
57,none,0.001239,0.001235,0.002476
59,none,0.001106,0.001352,0.002461
60,none,0.001353,0.001379,0.002734
61,none,0.001202,0.001415,0.002619
63,none,0.001489,0.001539,0.00303
64,none,0.001295,0.001421,0.002719
65,none,0.001546,0.001445,0.002992
67,none,0.001441,0.001529,0.002972
68,none,0.001707,0.001584,0.003294
69,none,0.001745,0.001624,0.003371
71,none,0.001522,0.00178,0.003303
72,none,0.001862,0.001813,0.003676
73,none,0.001655,0.00185,0.003507
75,none,0.002075,0.001974,0.004051
76,none,0.002064,0.001983,0.004049
77,none,0.002098,0.002085,0.004185
79,none,0.001933,0.002163,0.004098
80,none,0.002278,0.002262,0.004543
81,none,0.001982,0.002285,0.00427
83,none,0.002124,0.00242,0.004547
84,none,0.002498,0.002455,0.004955
85,none,0.00251,0.00262,0.005133
87,none,0.002637,0.002741,0.00538
88,none,0.002712,0.002812,0.005527
89,none,0.002473,0.002775,0.005249
91,none,0.002885,0.002898,0.005786
92,none,0.003016,0.002967,0.005985
93,none,0.002977,0.003039,0.006018
95,none,0.003114,0.003155,0.006271
96,none,0.003184,0.003213,0.0064
97,none,0.002834,0.003309,0.006146
99,none,0.003354,0.003471,0.006827
100,none,0.003385,0.00356,0.006948
101,none,0.003021,0.003624,0.006647
103,none,0.003158,0.003784,0.006945
104,none,0.003661,0.00379,0.007454
105,none,0.003808,0.003908,0.007719
107,none,0.003515,0.004059,0.007576
108,none,0.003932,0.004139,0.008073
109,none,0.003435,0.004164,0.0076
111,none,0.004188,0.004362,0.008552
112,none,0.004131,0.004478,0.008612
113,none,0.00368,0.004562,0.008244
115,none,0.004469,0.004681,0.009152
116,none,0.004515,0.004849,0.009366
117,none,0.004476,0.004882,0.009359
119,none,0.004661,0.00501,0.009672
120,none,0.004938,0.005079,0.01002
121,none,0.004372,0.005239,0.009614
123,none,0.00512,0.005367,0.010489
124,none,0.004989,0.005453,0.010444
125,none,0.004437,0.0056,0.010039
127,none,0.004717,0.005747,0.010466
128,none,0.004795,0.005506,0.010304
129,none,0.005526,0.005643,0.011171
131,none,0.004815,0.005838,0.010656
